,Across_factor,Rates,Within_factor
0,us_gb,2,1
1,us_gb,0,2
2,us_gb,18,3
3,us_gb,10,4
4,us_gb,6,5
5,us_gb,0,6
6,us_gb,26,7
7,us_gb,14,8
8,us_ca,24,1
9,us_ca,8,2
10,us_ca,16,3
11,us_ca,22,4
12,us_ca,14,5
13,us_ca,8,6
14,us_ca,14,7
15,us_ca,6,8
16,us_de,6,1
17,us_de,2,2
18,us_de,8,3
19,us_de,14,4
20,us_de,0,5
21,us_de,2,6
22,us_de,6,7
23,us_de,4,8
24,us_fr,2,1
25,us_fr,2,2
26,us_fr,6,3
27,us_fr,6,4
28,us_fr,0,5
29,us_fr,0,6
30,us_fr,4,7
31,us_fr,2,8
32,gb_ca,4,1
33,gb_ca,4,2
34,gb_ca,12,3
35,gb_ca,14,4
36,gb_ca,2,5
37,gb_ca,0,6
38,gb_ca,10,7
39,gb_ca,6,8
40,gb_de,4,1
41,gb_de,4,2
42,gb_de,12,3
43,gb_de,14,4
44,gb_de,2,5
45,gb_de,0,6
46,gb_de,10,7
47,gb_de,6,8
48,gb_fr,2,1
49,gb_fr,0,2
50,gb_fr,2,3
51,gb_fr,6,4
52,gb_fr,0,5
53,gb_fr,0,6
54,gb_fr,4,7
55,gb_fr,4,8
56,ca_de,14,1
57,ca_de,24,2
58,ca_de,16,3
59,ca_de,36,4
60,ca_de,18,5
61,ca_de,18,6
62,ca_de,26,7
63,ca_de,18,8
64,ca_fr,6,1
65,ca_fr,14,2
66,ca_fr,8,3
67,ca_fr,16,4
68,ca_fr,4,5
69,ca_fr,10,6
70,ca_fr,10,7
71,ca_fr,6,8
72,de_fr,2,1
73,de_fr,10,2
74,de_fr,10,3
75,de_fr,14,4
76,de_fr,8,5
77,de_fr,10,6
78,de_fr,8,7
79,de_fr,6,8
